Package                                   Current   Wanted   Latest  Location                                              Depended by
@opentelemetry/exporter-trace-otlp-http   0.215.0  0.215.0  0.218.0  node_modules/@opentelemetry/exporter-trace-otlp-http  workspace
@sentry/node                              10.54.0  10.56.0  10.56.0  node_modules/@sentry/node                             workspace
@tanstack/react-query                    5.100.14  5.101.0  5.101.0  node_modules/@tanstack/react-query                    workspace
@types/react                              19.2.15  19.2.16  19.2.16  node_modules/@types/react                             workspace
@typescript-eslint/eslint-plugin           8.60.0   8.60.1   8.60.1  node_modules/@typescript-eslint/eslint-plugin         workspace
@typescript-eslint/parser                  8.60.0   8.60.1   8.60.1  node_modules/@typescript-eslint/parser                workspace
@vitest/coverage-v8                         4.1.7    4.1.8    4.1.8  node_modules/@vitest/coverage-v8                      workspace
date-fns                                    4.3.0    4.4.0    4.4.0  node_modules/date-fns                                 workspace
dompurify                                   3.4.7    3.4.8    3.4.8  node_modules/dompurify                                workspace
express                                    4.22.2   4.22.2    5.2.1  node_modules/express                                  workspace
lucide-react                               1.16.0   1.17.0   1.17.0  node_modules/lucide-react                             workspace
openai                                     6.39.0   6.42.0   6.42.0  node_modules/openai                                   workspace
react                                      19.2.6   19.2.7   19.2.7  node_modules/react                                    workspace
react-dom                                  19.2.6   19.2.7   19.2.7  node_modules/react-dom                                workspace
react-hook-form                            7.76.1   7.77.0   7.77.0  node_modules/react-hook-form                          workspace
react-router-dom                           7.16.0   7.17.0   7.17.0  node_modules/react-router-dom                         workspace
vite                                       8.0.14   8.0.16   8.0.16  node_modules/vite                                     workspace
vitest                                      4.1.7    4.1.8    4.1.8  node_modules/vitest                                   workspace
